Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Nouveaux Bilans Alimentaire","2","Afghanistan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","44.73","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","202","Afrique du Sud","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","48.33","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","3","Albanie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","54","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","4","Algérie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","67.1","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","79","Allemagne","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","41.37","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","7","Angola","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","36.74","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","8","Antigua-et-Barbuda","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","28.45","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","194","Arabie saoudite","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","54.2","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","9","Argentine","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","37.72","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","1","Arménie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","49.02","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","10","Australie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","35.23","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","11","Autriche","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","43.29","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","52","Azerbaïdjan","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","61.89","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","12","Bahamas","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","28.3","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","16","Bangladesh","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","48.17","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","14","Barbade","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","37.67","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","57","Bélarus","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","39.75","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","255","Belgique","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","41.29","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","23","Belize","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","41.11","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","53","Bénin","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","51.52","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","19","Bolivie (État plurinational de)","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","37.78","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","80","Bosnie-Herzégovine","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","61.84","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","20","Botswana","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","37.87","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","21","Brésil","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","41.91","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","27","Bulgarie","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","41.3","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","233","Burkina Faso","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","68.75","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","35","Cabo Verde","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","44.84","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","115","Cambodge","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","46.93","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","32","Cameroun","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","60.63","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","33","Canada","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","47.38","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","40","Chili","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","42.04","Fc","Donnée calculée"
"FBS","Nouveaux Bilans Alimentaire","351","Chine","674","Disponibilité de protéines en quantité (g/personne/jour)","2903","Produits Vegetaux","2018","2018","g/personne/jour","60.63","Fc","Donnée calculée"
