Code Domaine,Domaine,Code zone,Zone,Code de devise ISO,Devise,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"PE","Taux de change - Annuels","2","Afghanistan","AFN","Afghani","5540","Unités de monnaie locale standardisée par USD","2018","2018","","72.0832","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","202","Afrique du Sud","ZAR","Rand","5540","Unités de monnaie locale standardisée par USD","2018","2018","","13.2409","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","3","Albanie","ALL","Lek","5540","Unités de monnaie locale standardisée par USD","2018","2018","","107.9892","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","4","Algérie","DZD","Algerian Dinar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","116.5938","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","79","Allemagne","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","6","Andorre","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","7","Angola","AOA","Kwanza","5540","Unités de monnaie locale standardisée par USD","2018","2018","","252.8557","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","258","Anguilla","XCD","East Caribbean Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.7","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","8","Antigua-et-Barbuda","XCD","East Caribbean Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.7","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","194","Arabie saoudite","SAR","Saudi Riyal","5540","Unités de monnaie locale standardisée par USD","2018","2018","","3.75","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","9","Argentine","ARS","Argentine Peso","5540","Unités de monnaie locale standardisée par USD","2018","2018","","28.095","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","1","Arménie","AMD","Armenian Dram","5540","Unités de monnaie locale standardisée par USD","2018","2018","","482.9879","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","22","Aruba","AWG","Aruban Florin","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.79","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","10","Australie","AUD","Australian Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.3384","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","11","Autriche","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","52","Azerbaïdjan","AZN","Azerbaijanian Manat","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1.7","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","12","Bahamas","BSD","Bahamian Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","13","Bahreïn","BHD","Bahraini Dinar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.376","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","16","Bangladesh","BDT","Taka","5540","Unités de monnaie locale standardisée par USD","2018","2018","","83.4662","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","14","Barbade","BBD","Barbados Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","57","Bélarus","BYR","Belarusian Ruble","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2.0376","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","255","Belgique","EUR","Euro","5540","Unités de monnaie locale standardisée par USD","2018","2018","","0.8468","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","23","Belize","BZD","Belize Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","2","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","53","Bénin","XOF","CFA Franc BCEAO","5540","Unités de monnaie locale standardisée par USD","2018","2018","","555.4465","X","Sources internationales sûres","Data from UNSD AMA"
"PE","Taux de change - Annuels","17","Bermudes","BMD","Bermudian Dollar","5540","Unités de monnaie locale standardisée par USD","2018","2018","","1","X","Sources internationales sûres","Data from UNSD AMA"
