Zone,Différences_populations,Protéines_animales_pourcent,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),cluster
Afghanistan,2.4,19.0,2040.0,55.52,3
Afrique du Sud,1.4000000000000001,43.0,2899.0,84.37,1
Albanie,-0.0,53.0,3360.0,115.74,2
Algérie,2.0,27.0,3322.0,91.83,1
Allemagne,0.6,61.0,3554.0,105.4,2
Angola,3.3000000000000003,31.0,2385.0,53.05,3
Antigua-et-Barbuda,1.0999999999999999,65.0,2445.0,80.19,0
Arabie saoudite,1.7999999999999998,38.0,3307.0,86.94,1
Argentine,1.0,65.0,3307.0,106.77,2
Arménie,0.2,48.0,2997.0,94.35,0
Australie,1.3,67.0,3391.0,105.94,2
Autriche,0.8,60.0,3695.0,109.12,2
Azerbaïdjan,1.0999999999999999,34.0,3149.0,94.42,1
Bahamas,1.0,65.0,2655.0,80.69,0
Bangladesh,1.0999999999999999,21.0,2563.0,60.73,1
Barbade,0.3,57.99999999999999,2956.0,88.69,0
Belgique,0.5,59.0,3769.0,99.87,2
Belize,1.9,43.0,2775.0,71.93,1
Bolivie (État plurinational de),1.4000000000000001,48.0,2412.0,73.24,1
Bosnie-Herzégovine,-0.8,37.0,3307.0,98.82,2
Botswana,2.1999999999999997,43.0,2342.0,65.89,1
Brésil,0.8,56.00000000000001,3301.0,95.68,2
Bulgarie,-0.7000000000000001,50.0,2854.0,83.26,0
Burkina Faso,2.9000000000000004,14.000000000000002,2737.0,80.16,3
Bélarus,0.0,56.99999999999999,3270.0,91.95,2
Bénin,2.8000000000000003,19.0,2755.0,63.97,3
Cabo Verde,1.3,37.0,2541.0,70.86,1
Cambodge,1.5,28.999999999999996,2492.0,65.95,1
Cameroun,2.6,16.0,2733.0,71.89,3
Canada,0.8999999999999999,54.0,3566.0,104.12,2
Chili,1.4000000000000001,54.0,3029.0,91.64,0
Chine,0.5,40.0,3191.0,100.63,2
Chypre,0.8,50.0,3019.0,91.67,0
Colombie,1.5,51.0,3114.0,72.92,0
Congo,2.6,45.0,2285.0,58.16,3
Costa Rica,1.0,56.00000000000001,3029.0,82.42,0
Croatie,-0.6,61.0,3074.0,90.6,0
Cuba,-0.0,41.0,3344.0,84.89,0
Côte d'Ivoire,2.6,25.0,2778.0,57.61,3
Danemark,0.3,68.0,3401.0,117.08,2
Djibouti,1.6,21.0,2694.0,65.75,1
Dominique,1.4000000000000001,56.00000000000001,2952.0,79.08,0
El Salvador,0.5,35.0,2696.0,77.03,1
Espagne,0.1,62.0,3322.0,107.55,2
Estonie,0.3,62.0,3247.0,105.38,2
Eswatini,1.0,28.000000000000004,2426.0,62.07,1
Fidji,0.7000000000000001,40.0,2781.0,71.14,1
Finlande,0.2,64.0,3343.0,117.99,2
Fédération de Russie,0.1,55.00000000000001,3345.0,101.4,2
Gabon,2.6,47.0,2633.0,79.18,1
Gambie,3.0,26.0,2533.0,65.81,3
Ghana,2.1999999999999997,25.0,3035.0,61.6,1
Grenade,0.0,56.99999999999999,2402.0,71.32,0
Grèce,-0.4,56.00000000000001,3382.0,108.16,2
Guatemala,2.0,32.0,2551.0,68.99,1
Guinée,2.9000000000000004,20.0,2746.0,57.4,3
Guinée-Bissau,2.5,21.0,2229.0,43.27,3
Guyana,0.5,41.0,2913.0,86.51,0
Géorgie,-0.1,41.0,2835.0,76.77,0
Haïti,1.3,21.0,2121.0,49.62,3
Honduras,1.7000000000000002,35.0,2673.0,62.95,1
Hongrie,-0.2,56.99999999999999,3316.0,89.64,2
Inde,1.0,24.0,2533.0,63.35,1
Indonésie,1.0999999999999999,32.0,2884.0,67.34,1
Iran (République islamique d'),1.4000000000000001,28.999999999999996,3087.0,85.73,1
Iraq,2.3,22.0,2608.0,65.53,3
Irlande,1.4000000000000001,61.0,3885.0,117.58,2
Islande,0.8999999999999999,72.0,3654.0,146.13,2
Israël,1.7000000000000002,59.0,3528.0,126.94,2
Italie,-0.1,53.0,3503.0,106.56,2
Jamaïque,0.5,49.0,2792.0,75.95,0
Japon,-0.2,56.00000000000001,2705.0,87.36,0
Jordanie,1.7999999999999998,34.0,2732.0,69.21,1
Kazakhstan,1.3,60.0,3067.0,91.49,0
Kenya,2.3,24.0,2197.0,61.75,3
Kirghizistan,1.7999999999999998,40.0,2729.0,84.41,1
Kiribati,1.7999999999999998,49.0,3078.0,73.57,1
Koweït,2.0,49.0,3471.0,103.21,2
Lesotho,0.8,28.999999999999996,2323.0,66.7,1
Lettonie,-1.2,61.0,3229.0,102.72,2
Liban,0.6,32.0,2857.0,69.15,1
Libéria,2.5,27.0,2168.0,42.78,3
Lituanie,-1.5,62.0,3411.0,126.65,2
Luxembourg,2.0,62.0,3465.0,108.65,2
Macédoine du Nord,0.0,43.0,3072.0,84.49,0
Madagascar,2.7,21.0,1938.0,44.17,3
Malaisie,1.4000000000000001,56.00000000000001,2845.0,77.45,0
Malawi,2.7,14.000000000000002,2392.0,67.07,3
Maldives,4.0,60.0,2235.0,81.29,1
Mali,3.1,27.0,2873.0,83.59,1
Malte,0.2,56.99999999999999,3420.0,116.4,2
Maroc,1.3,27.0,3412.0,101.08,2
Maurice,0.2,46.0,3051.0,88.93,0
Mauritanie,2.8000000000000003,36.0,2877.0,82.12,1
Mexique,1.0999999999999999,49.0,3157.0,91.5,0
Mongolie,1.7999999999999998,65.0,2579.0,87.31,0
Monténégro,0.0,61.0,3500.0,114.53,2
Mozambique,3.0,19.0,2103.0,42.41,3
Myanmar,0.6,46.0,2673.0,90.64,0
Namibie,1.9,35.0,2469.0,65.78,1
Nicaragua,1.3,31.0,2582.0,63.53,1
Niger,3.9,14.000000000000002,2570.0,82.6,3
Nigéria,2.6,13.0,2572.0,58.62,3
Norvège,0.8,60.0,3371.0,113.43,2
Nouvelle-Calédonie,1.0999999999999999,57.99999999999999,2825.0,84.66,0
Nouvelle-Zélande,0.8999999999999999,55.00000000000001,3191.0,94.01,2
Népal,1.7000000000000002,19.0,2769.0,74.34,1
Oman,3.5000000000000004,49.0,2940.0,85.36,1
Ouganda,3.8,26.0,1981.0,46.94,3
Ouzbékistan,1.6,38.0,3011.0,93.27,1
Pakistan,2.1,40.0,2486.0,67.0,1
Panama,1.7000000000000002,53.0,2851.0,80.38,0
Paraguay,1.3,40.0,2768.0,69.4,1
Pays-Bas,0.2,65.0,3297.0,106.69,2
Philippines,1.4000000000000001,42.0,2662.0,62.54,1
Pologne,-0.1,55.00000000000001,3537.0,105.59,2
Polynésie française,0.7000000000000001,66.0,2910.0,96.28,0
Portugal,-0.3,64.0,3480.0,116.95,2
Pérou,1.7000000000000002,38.0,2775.0,77.81,1
Roumanie,-0.8,49.0,3581.0,109.24,2
Royaume-Uni de Grande-Bretagne et d'Irlande du Nord,0.6,56.00000000000001,3344.0,103.92,2
Rwanda,2.7,14.000000000000002,2188.0,59.13,3
République centrafricaine,1.5,44.0,1786.0,44.58,3
République de Corée,0.1,52.0,3420.0,100.18,2
République de Moldova,-0.2,49.0,2383.0,61.64,0
République dominicaine,1.0999999999999999,50.0,2892.0,66.31,0
République démocratique populaire lao,1.6,24.0,2758.0,76.93,1
République populaire démocratique de Corée,0.5,19.0,2019.0,53.34,3
République-Unie de Tanzanie,3.0,21.0,2373.0,58.93,3
Saint-Kitts-et-Nevis,0.0,64.0,2582.0,77.05,0
Saint-Vincent-et-les Grenadines,0.0,56.00000000000001,2968.0,90.18,0
Sainte-Lucie,0.6,62.0,2618.0,85.82,0
Samoa,0.5,59.0,3030.0,87.85,0
Sao Tomé-et-Principe,1.9,30.0,2446.0,54.53,3
Serbie,-0.3,50.0,2828.0,84.36,0
Sierra Leone,2.1999999999999997,22.0,2369.0,51.02,3
Slovaquie,0.1,53.0,2871.0,70.57,0
Slovénie,0.1,53.0,3191.0,96.38,2
Soudan,2.4,28.000000000000004,2578.0,72.98,1
Sri Lanka,0.5,27.0,2737.0,65.23,1
Suisse,0.8,63.0,3354.0,95.47,2
Suriname,1.0999999999999999,41.0,2698.0,60.73,1
Suède,0.7000000000000001,64.0,3184.0,105.56,2
Sénégal,2.8000000000000003,22.0,2545.0,62.36,3
Tadjikistan,2.5,23.0,2109.0,54.25,3
Tchad,3.1,17.0,2115.0,61.51,3
Tchéquie,0.2,61.0,3277.0,86.98,0
Thaïlande,0.3,43.0,2804.0,63.36,0
Timor-Leste,2.0,28.999999999999996,2287.0,58.02,3
Togo,2.5,15.0,2443.0,58.47,3
Trinité-et-Tobago,0.4,52.0,2991.0,85.58,0
Tunisie,1.2,28.999999999999996,3450.0,99.82,2
Turkménistan,1.6,40.0,2830.0,88.62,1
Turquie,1.5,36.0,3711.0,110.68,2
Ukraine,-0.5,44.0,3102.0,86.45,0
Uruguay,0.3,53.0,3202.0,86.5,0
Vanuatu,2.4,43.0,2607.0,63.95,1
Venezuela (République bolivarienne du),-1.7999999999999998,45.0,2120.0,54.17,0
Viet Nam,1.0,40.0,3025.0,98.58,0
Yémen,2.4,19.0,2154.0,54.52,3
