level_0,index,Zone,Différences_populations,Protéines_animales_pourcent,Disponibilité alimentaire (Kcal/personne/jour),Disponibilité de protéines en quantité (g/personne/jour),Taux de change - Annuels,Élevage (1000 têtes),Importations - Valeur (1000$),Taux_de_croissance,PIB_Total,Importations_pourcent_PIB,cluster
0,0,Albanie,-0.0,53.0,3360.0,115.74,127.52621634388285,15587,11422,4.07,15147020535.39,45.26,1
1,1,Allemagne,0.6,61.0,3554.0,105.4,1.0,1530127,2736131,1.27,3963767526250.98,41.22,1
2,2,Argentine,1.0,65.0,3307.0,106.77,33.1778460085026,2114787,24185,-2.57,517626700412.72,16.56,1
3,3,Australie,1.3,67.0,3391.0,105.94,1.5805384978743506,1232411,62196,2.95,1432881172002.17,21.44,1
4,4,Autriche,0.8,60.0,3695.0,109.12,1.0,124240,479773,2.58,455094861902.06,52.42,1
5,5,Belgique,0.5,59.0,3769.0,99.87,1.0,469550,791553,1.81,543734366831.22,83.25,1
6,6,Canada,0.8999999999999999,54.0,3566.0,104.12,1.5302314596126596,1478415,476649,2.01,1716262621082.22,34.04,1
7,7,Danemark,0.3,68.0,3401.0,117.08,7.457014643363251,147634,372362,2.18,356879499797.9,50.42,1
8,8,Espagne,0.1,62.0,3322.0,107.55,1.0,1561570,533890,2.43,1422153839840.78,32.43,1
9,9,Estonie,0.3,62.0,3247.0,105.38,1.0,19300,62894,4.36,30631142226.85,71.54,1
10,10,Finlande,0.2,64.0,3343.0,117.99,1.0,135290,91659,1.52,275946554578.82,39.59,1
11,11,Grèce,-0.4,56.00000000000001,3382.0,108.16,1.0,219880,219451,1.93,218138367208.8,36.39,1
12,12,Irlande,1.4,61.0,3885.0,117.58,1.0,145460,560355,8.17,382674360648.24,89.18,1
13,13,Islande,0.8999999999999999,72.0,3654.0,146.13,127.89348134152102,9483,7724,3.81,25737594324.02,44.5,1
14,14,Israël,1.7000000000000002,59.0,3528.0,126.94,4.240198393953708,655923,28260,3.45,370587977125.73,29.15,1
15,15,Italie,-0.1,53.0,3503.0,106.56,1.0,1276626,281033,0.94,2091544955092.31,28.98,1
16,16,Koweït,2.0,49.0,3471.0,103.21,0.35663675011809165,61122,317165,1.25,140645364238.41,43.77,1
17,17,Lituanie,-1.5,62.0,3411.0,126.65,1.0,107975,84249,3.94,53722883091.35,73.39,1
18,18,Luxembourg,2.0,62.0,3465.0,108.65,1.0,296,70255,3.11,70919958015.52,175.54,1
19,19,Malte,0.2,56.99999999999999,3420.0,116.4,1.0,3820,31155,5.18,14750790658.4,127.18,1
20,20,Maroc,1.3,27.0,3412.0,101.08,11.084199338686823,794833,12327,3.15,118096227400.09,49.2,1
21,21,Monténégro,0.0,61.0,3500.0,114.53,1.0,3532,20862,5.08,5504255213.58,66.73,1
22,22,Norvège,0.8,60.0,3371.0,113.43,9.603802550779406,98158,13481,1.29,434166615431.91,32.63,1
23,23,Pays-Bas,0.2,65.0,3297.0,106.69,1.0,1037790,1700923,2.36,914043438179.61,74.14,1
24,24,Pologne,-0.1,55.00000000000001,3537.0,105.59,4.26511572980633,2516470,183448,5.35,587411745161.56,52.18,1
25,25,Portugal,-0.3,64.0,3480.0,116.95,1.0,343860,253560,2.85,242313116577.97,42.98,1
26,26,Roumanie,-0.8,49.0,3581.0,109.24,4.6547000472366555,479867,252362,4.47,241457403085.04,45.27,1
27,27,Royaume-Uni,0.6,56.00000000000001,3344.0,103.92,0.8852149267831838,1940345,2977549,1.34,2860667727551.97,32.0,1
28,28,Suède,0.7000000000000001,64.0,3184.0,105.56,10.26511572980633,150520,314796,1.95,555455371487.09,43.45,1
29,29,Tunisie,1.2,29.0,3450.0,99.82,3.125767595654228,215892,4037,2.66,39770297328.95,61.49,1
30,30,Turquie,1.5,36.0,3711.0,110.68,5.7019367028814365,2229802,5850,2.96,778381859840.94,31.34,1
31,31,Viet Nam,1.0,40.0,3025.0,98.58,26691.13131790269,930300,188211,7.08,245213686369.16,102.47,0
32,32,Émirats arabes unis,1.5,46.0,3314.0,110.26,4.336915446386396,48257,836578,1.19,422215043584.97,66.68,1
33,33,États-Unis,0.6,65.0,3782.0,113.74,1.1809163911195086,22298230,526798,2.93,20580159776000.0,15.25,2
34,34,Bosnie-Herzégovine,-0.8,37.0,3307.0,98.82,1.9567784600850258,61926,18712,3.74,20183510561.26,57.1,1
35,35,Brésil,0.8,56.00000000000001,3301.0,95.68,4.314832309872461,14112778,11232,1.32,1885482534238.33,14.51,1
36,36,Fédération de Russie,0.1,55.00000000000001,3345.0,101.4,74.0057864903165,4543002,373140,2.54,1669583089322.96,20.62,1
37,37,Lettonie,-1.2,61.0,3229.0,102.72,1.0,33190,77287,4.02,34416012859.19,62.21,1
38,38,Nouvelle-Zélande,0.8999999999999999,55.00000000000001,3191.0,94.01,1.706778460085026,231614,3868,3.12,207920613961.75,27.96,1
39,39,Corée,0.1,52.0,3420.0,100.18,1299.6663911195087,915014,397743,2.91,1724845615629.26,37.28,1
40,40,Suisse,0.8,63.0,3354.0,95.47,1.1548181388757677,97446,261796,2.75,705140620046.7,53.9,1
