cluster,Zone
1,Albanie
0,Allemagne
0,Argentine
0,Australie
1,Autriche
0,Belgique
0,Canada
0,Danemark
0,Espagne
1,Estonie
0,Finlande
0,Grèce
1,Irlande
1,Islande
1,Israël
0,Italie
0,Koweït
1,Lituanie
1,Luxembourg
1,Malte
1,Maroc
1,Monténégro
0,Norvège
0,Pays-Bas
1,Pologne
1,Portugal
1,Roumanie
0,Royaume-Uni
0,Suède
1,Tunisie
1,Turquie
3,Viet Nam
0,Émirats arabes unis
2,États-Unis
1,Bosnie-Herzégovine
0,Brésil
0,Fédération de Russie
1,Lettonie
0,Nouvelle-Zélande
0,Corée
0,Suisse
