cluster,Zone
2,Albanie
1,Allemagne
1,Argentine
1,Australie
2,Autriche
1,Belgique
1,Canada
2,Danemark
1,Espagne
1,Estonie
2,Finlande
1,Grèce
2,Irlande
2,Islande
2,Israël
1,Italie
1,Koweït
2,Lituanie
2,Luxembourg
2,Malte
1,Maroc
2,Monténégro
1,Norvège
1,Pays-Bas
1,Pologne
2,Portugal
1,Roumanie
1,Royaume-Uni
1,Suède
1,Tunisie
1,Turquie
1,Viet Nam
1,Émirats arabes unis
0,États-Unis
1,Bosnie-Herzégovine
1,Brésil
1,Fédération de Russie
1,Lettonie
1,Nouvelle-Zélande
1,Corée
1,Suisse
